model_id,model_name,exercise_id,modality,training_track,dataset_sources,version,status,macro_f1,accuracy,per_class_recall_summary,participant_grouped_holdout,manual_annotations_used,promoted_to_app,app_usage,warnings,created_at
squat_svc_v2,squat_baseline_svc,bodyweight_squat,video,video_pose,custom_videos,v2,experimental,,,,False,False,False,optional_research_second_opinion,"Limited data; rule-based analyzer remains primary",
exercise_pose_xgb_20260809T154328Z,xgboost_pose_classifier,multi_exercise,pose_features,video_pose_recognition,exercise_pose_frames,v1,candidate,0.731121,0.746367,"bicep_curl=0.899314;bodyweight_squat=0.825373;hammer_curl=0.253369;push_up=0.998483;shoulder_press=0.803838",False,False,False,optional_exercise_suggestion,"Video-grouped holdout; participant identities unavailable; manual confirmation required",2026-08-09T15:43:28Z
exercise_pose_gru_20260809T161346Z,bidirectional_gru_attention_pose_classifier,multi_exercise,pose_sequence,video_pose_recognition,exercise_pose_frames,v1,candidate,0.835556,0.826087,"bicep_curl=0.800000;bodyweight_squat=0.800000;hammer_curl=0.750000;push_up=0.800000;shoulder_press=1.000000",False,False,False,optional_exercise_suggestion,"Validation-only temperature scaling; threshold=0.635556; holdout selective accuracy=0.933333 at coverage=0.652174; participant identities unavailable; manual confirmation required",2026-08-09T16:13:46Z
