exercise_id,modality,total_samples,training_ready_samples,manual_review_samples,participant_count,dataset_sources,label_quality,can_train_classic_ml,can_train_sequence_dl,can_train_sensor_model,blockers,recommended_next_action
bodyweight_squat,image,3806,0,3806,0,zenodo_squat_dataset,medium,False,False,False,unknown_or_unreviewed_labels;insufficient_reviewed_samples;participant_grouped_train_validation_holdout_missing,Create reviewed label mappings and participant-grouped splits.
bodyweight_squat,tabular_features,1,0,1,0,squat_kaggle,medium,False,False,False,unknown_or_unreviewed_labels;insufficient_reviewed_samples;participant_grouped_train_validation_holdout_missing,Create reviewed label mappings and participant-grouped splits.
bodyweight_squat,video,23,23,0,0,custom_videos,high,False,False,False,participant_grouped_train_validation_holdout_missing,Create reviewed label mappings and participant-grouped splits.
unknown,sensor_timeseries,200,0,200,5,uci_physical_therapy_exercises,low,False,False,False,unknown_or_unreviewed_labels;insufficient_reviewed_samples;participant_grouped_train_validation_holdout_missing,Create reviewed label mappings and participant-grouped splits.
unknown,skeleton_2d,520,0,520,64,rehab24_6,low,False,False,False,unknown_or_unreviewed_labels;insufficient_reviewed_samples;participant_grouped_train_validation_holdout_missing,Create reviewed label mappings and participant-grouped splits.
unknown,skeleton_3d,265,0,265,64,dyntherapy;kimore;rehab24_6;ui_prmd,low,False,False,False,unknown_or_unreviewed_labels;insufficient_reviewed_samples;participant_grouped_train_validation_holdout_missing,Create reviewed label mappings and participant-grouped splits.
unknown,video,131,0,131,64,custom_videos;rehab24_6,low,False,False,False,unknown_or_unreviewed_labels;insufficient_reviewed_samples;participant_grouped_train_validation_holdout_missing,Create reviewed label mappings and participant-grouped splits.
